Loyalty Point ID,CIF,Log ID,Tanggal Pemberian,Sumber Poin,Jumlah Poin,Keterangan,Saldo Poin Terkini,Masa Berlaku Poin,Total Points Earn,Total Admin,Total Points Redeemed,List Vouchers,Redeemed Vouchers,Currently Vouchers,Date,Klasifikasi,Total
LP-SMI06O0GLY6-152,SMI06O0GLY6,LOG-152,8/1/2024 0:00,Top Up DANA,100,Jumlah uang: 58352,7,8/1/2025 0:00,27649,237139000,26842,Food & Beverages,0,20,8/1/2024,Transfer BI-Fast,18
LP-XLR1G4HMN21-28,XLR1G4HMN21,LOG-28,8/1/2024 0:10,Pembayaran Virtual Account PDAM,65,Jumlah uang: 624105,11,8/1/2025 0:10,,,,Electricity,0,20,,Transfer Non BI-Fast,19
LP-8TB51RBIF7X-165,8TB51RBIF7X,LOG-165,8/1/2024 0:15,Top Up DANA,100,Jumlah uang: 165141,11,8/1/2025 0:15,,,,Convinience Store,0,20,,QRIS,23
LP-XLR1G4HMN21-24,XLR1G4HMN21,LOG-24,8/1/2024 0:18,Garuda Indonesia,65,Jumlah uang: 712962,6,8/1/2025 0:18,,,,Entertainment,0,20,,E-Wallet,34
LP-NU9QMRMOKTC-184,NU9QMRMOKTC,LOG-184,8/1/2024 0:21,Pembayaran Virtual Account PDAM,65,Jumlah uang: 855413,6,8/1/2025 0:21,,,,,,,,Buy & Pay,58
LP-5H1TZ6CG4UM-100,5H1TZ6CG4UM,LOG-100,8/1/2024 0:22,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 651215,1,8/1/2025 0:22,,,,,,,,,
LP-XQ6HQIGI3JX-145,XQ6HQIGI3JX,LOG-145,8/1/2024 0:25,Garuda Indonesia,1,Jumlah uang: 921117,4,8/1/2025 0:25,,,,,,,,,
LP-8TB51RBIF7X-164,8TB51RBIF7X,LOG-164,8/1/2024 0:34,Transfer ke Bank OCBC (BI-Fast),1,Jumlah uang: 224927,9,8/1/2025 0:34,,,,,,,,,
LP-5KPJMHMXP61-176,5KPJMHMXP61,LOG-176,8/1/2024 1:15,Top Up DANA,2,Jumlah uang: 93051,11,8/1/2025 1:15,,,,,,,,,
LP-5KPJMHMXP61-175,5KPJMHMXP61,LOG-175,8/1/2024 1:18,Top Up DANA,2,Jumlah uang: 58612,9,8/1/2025 1:18,,,,,,,,,
LP-SMI06O0GLY6-150,SMI06O0GLY6,LOG-150,8/1/2024 1:22,Transfer ke Bank BTN (BI-Fast),1,Jumlah uang: 424510,4,8/1/2025 1:22,,,,,,,,,
LP-SUKK8F1TFQ1-47,SUKK8F1TFQ1,LOG-47,8/1/2024 1:26,Sriwijaya Air,1,Jumlah uang: 1195799,8,8/1/2025 1:26,,,,,,,,,
LP-5HHIFOTVV0X-132,5HHIFOTVV0X,LOG-132,8/1/2024 1:47,Transfer ke Bank Permata (BI-Fast),2,Jumlah uang: 181148,3,8/1/2025 1:47,,,,,,,,,
LP-2PNKXNUSK1V-92,2PNKXNUSK1V,LOG-92,8/1/2024 1:57,Transfer ke Bank Danamon (Non BI-Fast),2,Jumlah uang: 662560,4,8/1/2025 1:57,,,,,,,,,
LP-SMI06O0GLY6-155,SMI06O0GLY6,LOG-155,8/1/2024 2:06,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 923248,10,8/1/2025 2:06,,,,,,,,,
LP-NU9QMRMOKTC-181,NU9QMRMOKTC,LOG-181,8/1/2024 2:12,Mega,1,Jumlah uang: 5980178,3,8/1/2025 2:12,,,,,,,,,
LP-SUKK8F1TFQ1-45,SUKK8F1TFQ1,LOG-45,8/1/2024 2:13,Top Up LinkAja,2,Jumlah uang: 98966,6,8/1/2025 2:13,,,,,,,,,
LP-SMI06O0GLY6-156,SMI06O0GLY6,LOG-156,8/1/2024 2:31,Transfer ke Bank Sinarmas (BI-Fast),1,Jumlah uang: 948294,11,8/1/2025 2:31,,,,,,,,,
LP-2PNKXNUSK1V-94,2PNKXNUSK1V,LOG-94,8/1/2024 2:33,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 880476,7,8/1/2025 2:33,,,,,,,,,
LP-5KPJMHMXP61-171,5KPJMHMXP61,LOG-171,8/1/2024 2:36,Pembayaran QRIS di Alfamart,1,Jumlah uang: 25133,4,8/1/2025 2:36,,,,,,,,,
LP-7O97RRUP79D-18,7O97RRUP79D,LOG-18,8/1/2024 2:40,BPJS,1,Jumlah uang: 99434,9,8/1/2025 2:40,,,,,,,,,
LP-2PNKXNUSK1V-96,2PNKXNUSK1V,LOG-96,8/1/2024 2:59,Transfer ke Bank Sinarmas (BI-Fast),1,Jumlah uang: 958276,9,8/1/2025 2:59,,,,,,,,,
LP-5H1TZ6CG4UM-103,5H1TZ6CG4UM,LOG-103,8/1/2024 3:04,Whoosh,1,Jumlah uang: 180011,3,8/1/2025 3:04,,,,,,,,,
LP-4RXDJLB0N8J-58,4RXDJLB0N8J,LOG-58,8/1/2024 3:11,Pembayaran Virtual Account Bibit,1,Jumlah uang: 524243,8,8/1/2025 3:11,,,,,,,,,
LP-4RXDJLB0N8J-54,4RXDJLB0N8J,LOG-54,8/1/2024 3:16,PDAM,1,Jumlah uang: 159984,4,8/1/2025 3:16,,,,,,,,,
LP-O70ABYZUZV5-84,O70ABYZUZV5,LOG-84,8/1/2024 3:28,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 74053,4,8/1/2025 3:28,,,,,,,,,
LP-XLR1G4HMN21-27,XLR1G4HMN21,LOG-27,8/1/2024 3:47,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 53212,10,8/1/2025 3:47,,,,,,,,,
LP-7O97RRUP79D-16,7O97RRUP79D,LOG-16,8/1/2024 4:23,Transfer ke Bank CIMB Niaga (Non BI-Fast),2,Jumlah uang: 930550,7,8/1/2025 4:23,,,,,,,,,
LP-V629IE46K90-72,V629IE46K90,LOG-72,8/1/2024 4:40,Pembayaran Virtual Account Bibit,1,Jumlah uang: 56578,4,8/1/2025 4:40,,,,,,,,,
LP-2PNKXNUSK1V-93,2PNKXNUSK1V,LOG-93,8/1/2024 4:43,Top Up OVO,2,Jumlah uang: 116611,6,8/1/2025 4:43,,,,,,,,,
LP-TDXXP45N2PU-62,TDXXP45N2PU,LOG-62,8/1/2024 4:43,Top Up LinkAja,0,Jumlah uang: 15858,3,8/1/2025 4:43,,,,,,,,,
LP-FUU7IV5BU8D-3,FUU7IV5BU8D,LOG-3,8/1/2024 5:04,Transfer ke Bank BRI (BI-Fast),2,Jumlah uang: 828248,5,8/1/2025 5:04,,,,,,,,,
