Loyalty Point ID,CIF,Log ID,Tanggal Pemberian,Sumber Poin,Jumlah Poin,Keterangan,Saldo Poin Terkini,Masa Berlaku Poin,,Month,Sumber Poin,Total
LP-0LQ9UVUQE5F-1,0LQ9UVUQE5F,LOG-1,8/1/2024 1:14,Transfer ke Bank BCA (BI-Fast),1,Jumlah uang: 943281,1,8/1/2025 1:14,,7/31/2024,Transfer BI-Fast,60
LP-O70ABYZUZV5-2,O70ABYZUZV5,LOG-2,8/1/2024 2:27,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 26805,1,8/1/2025 2:27,,,Transfer Non BI-Fast,61
LP-5KPJMHMXP61-3,5KPJMHMXP61,LOG-3,8/1/2024 5:42,Pembayaran Virtual Account Bibit,1,Jumlah uang: 819150,1,8/1/2025 5:42,,,QRIS,114
LP-5KPJMHMXP61-4,5KPJMHMXP61,LOG-4,8/1/2024 6:33,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 44383,2,8/1/2025 6:33,,,E-Wallet,114
LP-SUKK8F1TFQ1-6,SUKK8F1TFQ1,LOG-6,8/1/2024 7:39,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 720066,1,8/1/2025 7:39,,,Pay & Buy,211
LP-NU9QMRMOKTC-7,NU9QMRMOKTC,LOG-7,8/1/2024 7:58,Top Up LinkAja,2,Jumlah uang: 96699,2,8/1/2025 7:58,,,,
LP-TDXXP45N2PU-9,TDXXP45N2PU,LOG-9,8/1/2024 10:54,BFI Finance,1,Jumlah uang: 7481505,1,8/1/2025 10:54,,,,
LP-NU9QMRMOKTC-10,NU9QMRMOKTC,LOG-10,8/1/2024 11:09,Top Up ShopeePay,2,Jumlah uang: 119698,4,8/1/2025 11:09,,,,
LP-8TB51RBIF7X-11,8TB51RBIF7X,LOG-11,8/1/2024 15:00,Telkom,1,Jumlah uang: 487933,1,8/1/2025 15:00,,,,
LP-SMI06O0GLY6-13,SMI06O0GLY6,LOG-13,8/1/2024 19:57,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 82134,1,8/1/2025 19:57,,,,
LP-5H1TZ6CG4UM-14,5H1TZ6CG4UM,LOG-14,8/1/2024 22:05,Garuda Indonesia,1,Jumlah uang: 1040957,1,8/1/2025 22:05,,,,
LP-7O97RRUP79D-18,7O97RRUP79D,LOG-18,8/2/2024 1:08,Transvision,1,Jumlah uang: 327849,1,8/2/2025 1:08,,,,
LP-A10BLCYC900-19,A10BLCYC900,LOG-19,8/2/2024 1:33,Top Up ShopeePay,2,Jumlah uang: 122004,2,8/2/2025 1:33,,,,
LP-5KPJMHMXP61-20,5KPJMHMXP61,LOG-20,8/2/2024 1:49,Pembayaran QRIS di Wheels Coffee Roaster,1,Jumlah uang: 38353,3,8/2/2025 1:49,,,,
LP-XQ6HQIGI3JX-21,XQ6HQIGI3JX,LOG-21,8/2/2024 1:53,Pembayaran QRIS di Kumari Cafe,1,Jumlah uang: 41872,1,8/2/2025 1:53,,,,
LP-O70ABYZUZV5-25,O70ABYZUZV5,LOG-25,8/2/2024 4:09,Pembayaran QRIS di Indomart,1,Jumlah uang: 69901,2,8/2/2025 4:09,,,,
LP-TDXXP45N2PU-27,TDXXP45N2PU,LOG-27,8/2/2024 5:44,Pembayaran QRIS di Alfamart,1,Jumlah uang: 54931,2,8/2/2025 5:44,,,,
LP-7O97RRUP79D-29,7O97RRUP79D,LOG-29,8/2/2024 8:20,PDAM,1,Jumlah uang: 154322,2,8/2/2025 8:20,,,,
LP-4RXDJLB0N8J-30,4RXDJLB0N8J,LOG-30,8/2/2024 10:12,IPB,1,Jumlah uang: 10742649,1,8/2/2025 10:12,,,,
LP-TDXXP45N2PU-31,TDXXP45N2PU,LOG-31,8/2/2024 10:58,PDAM,1,Jumlah uang: 137597,3,8/2/2025 10:58,,,,
LP-FUU7IV5BU8D-33,FUU7IV5BU8D,LOG-33,8/2/2024 15:59,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 26459,1,8/2/2025 15:59,,,,
LP-QX2FG9YB3ZG-35,QX2FG9YB3ZG,LOG-35,8/2/2024 17:46,Transfer ke Bank BNI (BI-Fast),1,Jumlah uang: 293480,1,8/2/2025 17:46,,,,
LP-7O97RRUP79D-37,7O97RRUP79D,LOG-37,8/2/2024 18:34,MNC Vision,1,Jumlah uang: 394974,3,8/2/2025 18:34,,,,
LP-A10BLCYC900-38,A10BLCYC900,LOG-38,8/2/2024 18:59,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 68283,3,8/2/2025 18:59,,,,
LP-NU9QMRMOKTC-39,NU9QMRMOKTC,LOG-39,8/2/2024 20:32,Transfer ke Bank BTPN (BI-Fast),1,Jumlah uang: 572768,5,8/2/2025 20:32,,,,
LP-V629IE46K90-40,V629IE46K90,LOG-40,8/2/2024 20:37,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 29958,1,8/2/2025 20:37,,,,
LP-5H1TZ6CG4UM-42,5H1TZ6CG4UM,LOG-42,8/2/2024 23:25,Top Up DANA,2,Jumlah uang: 74210,3,8/2/2025 23:25,,,,
LP-V629IE46K90-43,V629IE46K90,LOG-43,8/3/2024 0:19,Pembayaran QRIS di Circle K,1,Jumlah uang: 74190,2,8/3/2025 0:19,,,,
LP-8TB51RBIF7X-44,8TB51RBIF7X,LOG-44,8/3/2024 1:11,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 39277,2,8/3/2025 1:11,,,,
LP-SUKK8F1TFQ1-46,SUKK8F1TFQ1,LOG-46,8/3/2024 3:40,Whoosh,1,Jumlah uang: 160174,2,8/3/2025 3:40,,,,
LP-8TB51RBIF7X-47,8TB51RBIF7X,LOG-47,8/3/2024 4:53,Transfer ke Bank Permata (BI-Fast),2,Jumlah uang: 903614,4,8/3/2025 4:53,,,,
LP-XQ6HQIGI3JX-48,XQ6HQIGI3JX,LOG-48,8/3/2024 7:09,Telkom,1,Jumlah uang: 460887,2,8/3/2025 7:09,,,,
LP-7O97RRUP79D-49,7O97RRUP79D,LOG-49,8/3/2024 7:15,Top Up GoPay,2,Jumlah uang: 95415,5,8/3/2025 7:15,,,,
LP-5HHIFOTVV0X-52,5HHIFOTVV0X,LOG-52,8/3/2024 10:34,Transfer ke Bank OCBC (BI-Fast),1,Jumlah uang: 116392,1,8/3/2025 10:34,,,,
LP-5HHIFOTVV0X-53,5HHIFOTVV0X,LOG-53,8/3/2024 10:54,Pembayaran QRIS di Tomoro Coffee,1,Jumlah uang: 53461,2,8/3/2025 10:54,,,,
LP-7O97RRUP79D-55,7O97RRUP79D,LOG-55,8/3/2024 14:19,PDAM,1,Jumlah uang: 164604,6,8/3/2025 14:19,,,,
LP-O70ABYZUZV5-56,O70ABYZUZV5,LOG-56,8/3/2024 15:59,Transfer ke Bank BRI (BI-Fast),2,Jumlah uang: 331789,4,8/3/2025 15:59,,,,
LP-V629IE46K90-57,V629IE46K90,LOG-57,8/3/2024 18:59,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 982380,3,8/3/2025 18:59,,,,
LP-XLR1G4HMN21-58,XLR1G4HMN21,LOG-58,8/3/2024 20:21,Transfer ke Bank BNI (Non BI-Fast),1,Jumlah uang: 958177,1,8/3/2025 20:21,,,,
LP-5HHIFOTVV0X-59,5HHIFOTVV0X,LOG-59,8/3/2024 23:09,Pembayaran QRIS di Kopi Mandja,1,Jumlah uang: 76480,3,8/3/2025 23:09,,,,
LP-0LQ9UVUQE5F-61,0LQ9UVUQE5F,LOG-61,8/4/2024 1:13,Pembayaran Virtual Account PDAM,1,Jumlah uang: 284578,2,8/4/2025 1:13,,,,
LP-5H1TZ6CG4UM-62,5H1TZ6CG4UM,LOG-62,8/4/2024 2:19,Pembayaran QRIS di Kumari Cafe,1,Jumlah uang: 46270,4,8/4/2025 2:19,,,,
LP-7O97RRUP79D-63,7O97RRUP79D,LOG-63,8/4/2024 2:50,Pembayaran QRIS di Jabarano Coffee,1,Jumlah uang: 46172,7,8/4/2025 2:50,,,,
LP-SUKK8F1TFQ1-64,SUKK8F1TFQ1,LOG-64,8/4/2024 4:47,Pembayaran Virtual Account Pendidikan,1,Jumlah uang: 585742,3,8/4/2025 4:47,,,,
LP-5HHIFOTVV0X-65,5HHIFOTVV0X,LOG-65,8/4/2024 4:49,BPJS,1,Jumlah uang: 51978,4,8/4/2025 4:49,,,,
LP-QX2FG9YB3ZG-67,QX2FG9YB3ZG,LOG-67,8/4/2024 5:44,Top Up GoPay,2,Jumlah uang: 83137,3,8/4/2025 5:44,,,,
LP-FUU7IV5BU8D-68,FUU7IV5BU8D,LOG-68,8/4/2024 6:06,Transfer ke Bank CIMB Niaga (BI-Fast),2,Jumlah uang: 327354,3,8/4/2025 6:06,,,,
LP-XLR1G4HMN21-69,XLR1G4HMN21,LOG-69,8/4/2024 6:07,Pembayaran Virtual Account Internet Rumah,1,Jumlah uang: 483101,2,8/4/2025 6:07,,,,
LP-FUU7IV5BU8D-70,FUU7IV5BU8D,LOG-70,8/4/2024 6:08,Top Up GoPay,2,Jumlah uang: 132584,5,8/4/2025 6:08,,,,
LP-5KPJMHMXP61-71,5KPJMHMXP61,LOG-71,8/4/2024 6:16,Transfer ke Bank Danamon (BI-Fast),2,Jumlah uang: 336435,5,8/4/2025 6:16,,,,
LP-SMI06O0GLY6-72,SMI06O0GLY6,LOG-72,8/4/2024 6:40,BPJS,1,Jumlah uang: 37159,2,8/4/2025 6:40,,,,
LP-8TB51RBIF7X-74,8TB51RBIF7X,LOG-74,8/4/2024 10:09,Top Up GoPay,2,Jumlah uang: 48308,6,8/4/2025 10:09,,,,
LP-0LQ9UVUQE5F-75,0LQ9UVUQE5F,LOG-75,8/4/2024 11:02,Transfer ke Bank BTPN (Non BI-Fast),1,Jumlah uang: 696941,3,8/4/2025 11:02,,,,
LP-QX2FG9YB3ZG-76,QX2FG9YB3ZG,LOG-76,8/4/2024 12:08,Transfer ke Bank Danamon (BI-Fast),2,Jumlah uang: 885879,5,8/4/2025 12:08,,,,
